datetime,demand,wind,solar,nuclear,hydro,pump_storage,ccgt,coal,imp_france,exp_france,imp_portugal,exp_portugal,imbalance
2019-01-01T00:00:00.000+01:00,23459.0,3794.191,15.986,6047.36,2581.529,-71.752,3137.598,1849.879,2468.887,-11.005,428.808,-413.212,462.6
2019-01-01T01:00:00.000+01:00,22781.0,3767.804,15.921,6045.9,2556.662,-23.34,3121.557,1631.424,2419.963,-1.345,208.358,-948.936,377.8
2019-01-01T02:00:00.000+01:00,21448.5,3757.543,8.272,6046.754,1840.314,-468.024,3121.121,1573.326,2421.463,-0.133,87.87,-1037.396,-671.2
2019-01-01T03:00:00.000+01:00,20262.166666666668,3716.763,0.139,6044.538,1414.429,-1206.727,3609.398,1441.022,2406.028,-0.102,8.957,-1392.104,-650.8
2019-01-01T04:00:00.000+01:00,19463.5,3532.569,0.233,6045.747,1535.409,-1286.632,3566.925,1416.226,2447.643,-0.102,0.0,-1988.196,-447.9
2019-01-01T05:00:00.000+01:00,19164.0,3402.72,0.291,6044.442,1494.475,-1286.293,3478.561,1416.709,2442.42,-0.102,0.0,-1994.744,-421.7
2019-01-01T06:00:00.000+01:00,19298.166666666668,3377.291,0.355,6044.096,1525.021,-872.849,3489.324,1423.532,2433.383,-0.102,0.0,-1977.228,-382.6
2019-01-01T07:00:00.000+01:00,19739.166666666668,3354.937,1.033,6043.273,1482.451,-814.189,3535.068,1352.468,2535.828,-0.103,2.386,-1607.634,-438.8
2019-01-01T08:00:00.000+01:00,19752.166666666668,3348.912,40.247,6039.834,1519.148,-367.41,3119.852,1371.965,2428.422,-0.103,1.845,-1669.449,-479.0
2019-01-01T09:00:00.000+01:00,20262.333333333332,3149.128,792.395,6039.746,1548.561,-499.492,3324.494,1366.236,2433.619,-0.156,0.123,-1667.025,-748.1
2019-01-01T10:00:00.000+01:00,21919.5,2536.691,2056.597,6040.718,1805.547,-521.665,3773.482,1398.4,2430.612,-0.103,17.374,-1412.032,-295.1
2019-01-01T11:00:00.000+01:00,23259.5,1888.775,3172.286,6039.32,1660.452,-90.934,4215.908,1504.781,2412.6,-0.488,3.85,-1331.823,-253.7
2019-01-01T12:00:00.000+01:00,23805.0,1663.913,3863.99,6041.901,1923.521,-38.109,4445.252,1626.264,2352.4,-2.025,0.0,-1839.851,-517.1
2019-01-01T13:00:00.000+01:00,24316.333333333332,1563.642,3906.144,6044.81,2140.063,-132.627,4009.822,1669.825,2453.325,-4.71,7.62,-1164.031,-776.8
2019-01-01T14:00:00.000+01:00,24309.5,1560.659,3841.038,6042.983,2079.093,-266.022,4218.233,1645.896,2378.408,-1.738,0.375,-1078.754,-804.8
2019-01-01T15:00:00.000+01:00,23116.0,1491.988,3601.591,6043.961,1967.58,-258.26,3699.919,1553.469,2401.186,-0.105,0.0,-1332.785,-700.2
2019-01-01T16:00:00.000+01:00,22510.666666666668,1555.097,2796.384,6042.903,2154.935,-348.585,3930.745,1462.855,2418.385,-0.341,0.252,-1344.399,-538.8
2019-01-01T17:00:00.000+01:00,22822.833333333332,2111.224,1167.544,6043.672,2637.062,-212.192,4767.127,1589.431,1867.134,-35.509,73.434,-843.131,-520.8
2019-01-01T18:00:00.000+01:00,25344.5,3035.345,192.016,6046.889,3260.869,32.34,5025.401,1931.282,2695.107,-2.407,409.144,-484.912,-601.8
2019-01-01T19:00:00.000+01:00,26962.5,3667.617,47.731,6047.401,3556.33,35.231,4724.684,2223.716,3232.625,-51.762,670.014,-443.376,-194.9
2019-01-01T20:00:00.000+01:00,28067.833333333332,4348.669,18.096,6048.439,3767.053,35.306,4393.146,2253.727,3477.787,-83.454,855.483,-333.205,-180.1
2019-01-01T21:00:00.000+01:00,28549.166666666668,5057.88,16.258,6047.031,3731.1,35.305,4635.832,2159.521,2470.843,-12.006,1161.889,-259.2,-127.2
2019-01-01T22:00:00.000+01:00,27685.666666666668,5725.066,16.2,6047.496,3121.109,35.33,4493.5,2083.649,2422.22,-0.184,763.788,-626.596,-294.1
2019-01-01T23:00:00.000+01:00,25780.333333333332,6271.589,16.123,6046.67,2409.773,35.022,4251.517,1856.68,2432.56,-0.154,160.14,-1531.381,-336.5
2019-01-02T00:00:00.000+01:00,23385.666666666668,6638.189,16.074,6043.783,1533.164,-199.801,2939.742,1512.195,2357.114,-0.1,52.616,-1855.87,-893.4
2019-01-02T01:00:00.000+01:00,21447.5,6816.502,8.419,6041.896,1032.206,-1156.693,2399.352,1447.725,2365.062,-34.079,0.252,-1996.481,-566.3
2019-01-02T02:00:00.000+01:00,20200.0,7095.931,0.12,6039.924,1058.632,-2428.549,2101.214,1297.621,2557.709,-91.533,2.595,-2009.593,-431.4
2019-01-02T03:00:00.000+01:00,19671.166666666668,7547.104,0.121,6040.867,818.086,-3125.526,2063.45,1291.805,2559.933,-84.757,0.123,-2020.503,-368.2
2019-01-02T04:00:00.000+01:00,19534.0,7949.659,0.19,6040.29,713.906,-3258.441,1832.611,1225.519,2519.72,-97.022,0.0,-2003.297,-750.4
2019-01-02T05:00:00.000+01:00,20278.666666666668,8172.863,0.268,6040.589,755.914,-2744.705,1919.964,1288.659,2561.535,-111.198,1.089,-2024.464,-817.8
2019-01-02T06:00:00.000+01:00,22843.5,9315.663,0.342,6039.597,1390.2,-1206.838,2195.438,1543.681,1776.414,-190.045,41.152,-2058.288,-394.6
2019-01-02T07:00:00.000+01:00,26713.0,9700.029,1.029,6039.202,1681.829,1.001,3003.596,1906.577,1934.622,-204.984,194.358,-1533.276,-246.8
2019-01-02T08:00:00.000+01:00,30173.166666666668,10162.248,39.946,6039.724,1820.955,35.397,2804.497,2397.669,2806.515,-55.336,604.051,-791.292,-452.8
2019-01-02T09:00:00.000+01:00,32801.833333333336,10148.383,769.019,6039.723,2572.246,35.586,3168.06,2711.048,3290.747,-99.768,801.279,-887.905,-53.7
2019-01-02T10:00:00.000+01:00,34590.666666666664,9898.877,1972.66,6036.724,2862.646,34.948,3500.774,3053.818,3296.667,-114.971,589.489,-923.0,268.6
2019-01-02T11:00:00.000+01:00,34832.166666666664,9390.937,3007.551,6034.852,3204.349,35.054,3919.552,3177.87,2809.825,-33.895,234.449,-1248.368,721.9
